EV_type,battery_chemistry,DCFC_capable,max_c_rate,battery_size_kWh,range_miles,efficiency_Wh/Mile,AC_charge_rate_kW
XFC250_400kW,LTO,TRUE,3.85,87.5,250,350,11.5
XFC300_575kW,LTO,TRUE,3.41,142.5,300,475,11.5
XFC300_400kW,LTO,TRUE,3.46,97.5,300,325,11.5
XFC250_350kW,NMC,TRUE,2.29,118.75,250,475,11.5
XFC300_300kW,NMC,TRUE,2.38,97.5,300,325,11.5
XFC150_150kW,NMC,TRUE,2.56,45,150,300,9.6
XFC250_300kW,NMC,TRUE,2.64,87.5,250,350,11.5
XFC200_150kW,NMC,TRUE,1.22,95,200,475,9.6
XFC275_150kW,NMC,TRUE,1.41,82.5,275,300,9.6
BEV250_75kW,NMC,TRUE,0.76,75,250,300,6.6
BEV150_50kW,NMC,TRUE,0.85,45,150,300,6.6
PHEV50_SUV,NMC,FALSE,-1,23.75,50,475,9.6
PHEV50,NMC,FALSE,-1,15.5,50,310,3.3
PHEV20,NMC,FALSE,-1,5,20,250,3.3
