EV_enum,bat_chemistry,bat_size_kWh,bat_size_Ah_1C,bat_max_c_rate,SE_enum,SE_dc_current_limit_amps
ld_50kWh,NMC,52.63157895,65.63823351,2.9,xfc_150,170
ld_100kWh,NMC,105.1578947,131.1451906,2.9,xfc_150,170
md_200kWh,NMC,210.5263158,262.5529341,2.9,xfc_150,170
hd_300kWh,NMC,315.7894737,262.5529341,2.9,xfc_150,170
hd_400kWh,NMC,421.0526316,350.0705787,2.9,xfc_150,170
hd_600kWh,NMC,631.5789474,525.1058681,2.9,xfc_150,170
hd_800kWh,NMC,842.1052632,700.1411575,2.9,xfc_150,170
hd_1000kWh,NMC,1052.631579,865.497076,2.5,xfc_150,170
ld_50kWh,NMC,52.63157895,65.63823351,2.9,xfc_350,500
ld_100kWh,NMC,105.1578947,131.1451906,2.9,xfc_350,500
md_200kWh,NMC,210.5263158,262.5529341,2.9,xfc_350,500
hd_300kWh,NMC,315.7894737,262.5529341,2.9,xfc_350,500
hd_400kWh,NMC,421.0526316,350.0705787,2.9,xfc_350,500
hd_600kWh,NMC,631.5789474,525.1058681,2.9,xfc_350,500
hd_800kWh,NMC,842.1052632,700.1411575,2.9,xfc_350,500
hd_1000kWh,NMC,1052.631579,865.497076,2.5,xfc_350,500
ld_50kWh,NMC,52.63157895,65.63823351,2.9,xfc_500kW,500
ld_100kWh,NMC,105.1578947,131.1451906,2.9,xfc_500kW,500
md_200kWh,NMC,210.5263158,262.5529341,2.9,xfc_500kW,500
hd_300kWh,NMC,315.7894737,262.5529341,2.9,xfc_500kW,500
hd_400kWh,NMC,421.0526316,350.0705787,2.9,xfc_500kW,500
hd_600kWh,NMC,631.5789474,525.1058681,2.9,xfc_500kW,500
hd_800kWh,NMC,842.1052632,700.1411575,2.9,xfc_500kW,500
hd_1000kWh,NMC,1052.631579,865.497076,2.5,xfc_500kW,500
ld_50kWh,NMC,52.63157895,65.63823351,2.9,xfc_1000kW,732.6
ld_100kWh,NMC,105.1578947,131.1451906,2.9,xfc_1000kW,732.6
md_200kWh,NMC,210.5263158,262.5529341,2.9,xfc_1000kW,732.6
hd_300kWh,NMC,315.7894737,262.5529341,2.9,xfc_1000kW,732.6
hd_400kWh,NMC,421.0526316,350.0705787,2.9,xfc_1000kW,732.6
hd_600kWh,NMC,631.5789474,525.1058681,2.9,xfc_1000kW,732.6
hd_800kWh,NMC,842.1052632,700.1411575,2.9,xfc_1000kW,732.6
hd_1000kWh,NMC,1052.631579,865.497076,2.5,xfc_1000kW,732.6
ld_50kWh,NMC,52.63157895,65.63823351,2.9,xfc_2000kW,1466.6663
ld_100kWh,NMC,105.1578947,131.1451906,2.9,xfc_2000kW,1466.6663
md_200kWh,NMC,210.5263158,262.5529341,2.9,xfc_2000kW,1466.6663
hd_300kWh,NMC,315.7894737,262.5529341,2.9,xfc_2000kW,1466.6663
hd_400kWh,NMC,421.0526316,350.0705787,2.9,xfc_2000kW,1466.6663
hd_600kWh,NMC,631.5789474,525.1058681,2.9,xfc_2000kW,1466.6663
hd_800kWh,NMC,842.1052632,700.1411575,2.9,xfc_2000kW,1466.6663
hd_1000kWh,NMC,1052.631579,865.497076,2.5,xfc_2000kW,1466.6663
ld_50kWh,NMC,52.63157895,65.63823351,2.9,xfc_3000kW,2200
ld_100kWh,NMC,105.1578947,131.1451906,2.9,xfc_3000kW,2200
md_200kWh,NMC,210.5263158,262.5529341,2.9,xfc_3000kW,2200
hd_300kWh,NMC,315.7894737,262.5529341,2.9,xfc_3000kW,2200
hd_400kWh,NMC,421.0526316,350.0705787,2.9,xfc_3000kW,2200
hd_600kWh,NMC,631.5789474,525.1058681,2.9,xfc_3000kW,2200
hd_800kWh,NMC,842.1052632,700.1411575,2.9,xfc_3000kW,2200
hd_1000kWh,NMC,1052.631579,865.497076,2.5,xfc_3000kW,2200
ld_50kWh,NMC,52.63157895,65.63823351,2.9,dwc_100kW,125
ld_100kWh,NMC,105.1578947,131.1451906,2.9,dwc_100kW,125
md_200kWh,NMC,210.5263158,262.5529341,2.9,dwc_100kW,125
hd_300kWh,NMC,315.7894737,262.5529341,2.9,dwc_100kW,125
hd_400kWh,NMC,421.0526316,350.0705787,2.9,dwc_100kW,125
hd_600kWh,NMC,631.5789474,525.1058681,2.9,dwc_100kW,125
hd_800kWh,NMC,842.1052632,700.1411575,2.9,dwc_100kW,125
hd_1000kWh,NMC,1052.631579,865.497076,2.5,dwc_100kW,125
