EV,ld_50kWh
soc_LB,soc_UB,a,b
-0.1, 97.55911529426994, 0.0, 15.8976
97.55911529426994, 100.1, -5.219298245875, 525.0877193245


EV,ld_100kWh
soc_LB,soc_UB,a,b
-0.1, 99.0805541670789, 0.0, 15.8976
99.0805541670789, 100.1, -10.428157891083332, 1049.1252627903334


EV,md_200kWh
soc_LB,soc_UB,a,b
-0.1, 100.1, 0.0, 15.8976


EV,hd_300kWh
soc_LB,soc_UB,a,b
-0.1, 100.1, 0.0, 15.8976


EV,hd_400kWh
soc_LB,soc_UB,a,b
-0.1, 100.1, 0.0, 15.8976


EV,hd_600kWh
soc_LB,soc_UB,a,b
-0.1, 100.1, 0.0, 15.8976


EV,hd_800kWh
soc_LB,soc_UB,a,b
-0.1, 100.1, 0.0, 15.8976


EV,hd_1000kWh
soc_LB,soc_UB,a,b
-0.1, 100.1, 0.0, 15.8976


