, dcfc_50, 
soc, BEV250_ld2_300kW, 
0, 83.25680205047318, 
1, 86.23025926656152, 
2, 89.20371648264984, 
3, 92.17717369873817, 
4, 95.1506309148265, 
5, 95.86183951104101, 
6, 96.57304810725553, 
7, 97.28425670347004, 
8, 97.99546529968455, 
9, 98.70667389589906, 
10, 99.41788249211356, 
11, 99.59830365809269, 
12, 99.77872482407182, 
13, 99.95914599005094, 
14, 100.13956715603008, 
15, 100.31998832200921, 
16, 100.50040948798835, 
17, 100.68083065396748, 
18, 100.8612518199466, 
19, 101.04167298592574, 
20, 101.22209415190487, 
21, 101.402515317884, 
22, 101.58293648386314, 
23, 101.76335764984226, 
24, 101.94377881582139, 
25, 102.12419998180053, 
26, 102.30462114777966, 
27, 102.48504231375878, 
28, 102.66546347973792, 
29, 102.84588464571705, 
30, 103.02630581169618, 
31, 103.20672697767532, 
32, 103.38714814365444, 
33, 103.56756930963357, 
34, 103.74799047561271, 
35, 103.92841164159184, 
36, 104.10883280757096, 
37, 104.2892539735501, 
38, 104.46967513952923, 
39, 104.65009630550836, 
40, 104.8305174714875, 
41, 105.01093863746662, 
42, 105.19135980344575, 
43, 105.37178096942489, 
44, 105.55220213540402, 
45, 105.73262330138314, 
46, 105.91304446736228, 
47, 106.09346563334141, 
48, 106.27388679932054, 
49, 106.45430796529968, 
50, 106.6347291312788, 
51, 106.81515029725793, 
52, 106.99557146323707, 
53, 107.1759926292162, 
54, 107.35641379519532, 
55, 107.53683496117446, 
56, 107.71725612715359, 
57, 107.89767729313273, 
58, 108.07809845911186, 
59, 108.25851962509098, 
60, 108.43894079107012, 
61, 108.61936195704925, 
62, 108.79978312302838, 
63, 108.98020428900752, 
64, 109.16062545498664, 
65, 109.34104662096577, 
66, 109.52146778694491, 
67, 109.70188895292404, 
68, 109.88231011890316, 
69, 110.0627312848823, 
70, 110.24315245086143, 
71, 110.42357361684056, 
72, 110.6039947828197, 
73, 110.78441594879882, 
74, 110.96483711477796, 
75, 111.14525828075709, 
76, 111.32567944673622, 
77, 111.50610061271536, 
78, 111.68652177869448, 
79, 111.86694294467361, 
80, 112.04736411065275, 
81, 112.22778527663188, 
82, 112.408206442611, 
83, 112.58862760859014, 
84, 112.76904877456927, 
85, 112.9494699405484, 
86, 113.12989110652754, 
87, 113.31031227250666, 
88, 113.49073343848579, 
89, 105.99174999999991, 
90, 96.85849999999994, 
91, 87.72524999999985, 
92, 78.59199999999987, 
93, 69.4587499999999, 
94, 60.32549999999992, 
95, 51.192249999999945, 
96, 42.05899999999997, 
97, 32.92574999999988, 
98, 23.792499999999905, 
99, 14.659249999999929, 
100, 5.525999999999954, 
